"Cmax = 0.78","q = 0","q = 1","q = 2"
"K201",11.76,9.08,7.04
"K202",13.96,10.78,8.34
"K203",12.71,9.82,7.74
"K204",8.81,6.02,4.4
"K205",10.45,7.76,5.81
"K206",12.06,9.44,7.42
"K207",6.77,5.13,3.96
"K208",14.75,11.78,9.53
"K209",1.69,1.57,1.45
"K210",3.85,2.72,2.1
"K211",15.08,10.7,7.53
"K212",17.97,14.58,12
"K213",13.62,10.58,8.37
"K214",18.7,13.71,10.04
"K215",18.93,14.88,12.07
"K216",20.68,16.23,12.86
"K217",12.36,8.92,6.63
"K218",14.93,10.64,7.71
"K219",13.33,9.08,6.06
"K220",1.93,1.77,1.63
"K221",5,4.2,3.58
"K222",9.15,5.93,4.17
"K223",14.61,10.75,8.16
"K224",6.54,5.7,5.02
"K225",12.2,10.05,8.35
"K226",18.95,15.1,12.13
"K227",11.4,8.83,6.96
"K228",9.38,7.11,5.54
"K229",10.47,8.69,7.3
"K230",13.2,10.04,7.74
"K231",12.19,9.51,7.65
"K232",7.38,5.51,4.35
"K233",6.82,5.63,4.74
"K234",15.28,12.72,10.74
"K235",14.84,12.06,9.89
"K236",6.03,4.54,3.5
"K237",10.38,8.64,7.24
"K238",6.34,4.34,3.14
"K239",7.17,6.18,5.38
"K240",4.82,4.1,3.53
"K241",11.83,9.1,7.09
"K242",2.94,2.33,1.94
"K243",2.26,2,1.79
"X400001",4.23,3.47,2.93
"X400003",3.14,2.69,2.34
"X400106",8.07,4.93,3.24
"X400107",1.94,1.76,1.61
"X400110",4.37,3.44,2.79
"X400127",10.84,9.1,7.74
"X400191",11.91,9.88,8.34
"X400242",16.3,9.9,6.38
"X400252",3.02,2.57,2.23
"X410006",2.29,2.04,1.84
"X410065",3.79,3.23,2.8
"X410103",16.66,11.68,8.71
"X410140",0.93,0.93,0.93
"X420190",6.86,4.81,3.68
"X420204",7.8,6.26,5.09
"X420209",11,8.51,6.71
"X420224",9.39,7.15,5.44
"X420240",4,3.17,2.59
"X430015",11.24,7.92,5.81
"X430022",3.1,2.37,1.93
"X430074",8.77,7.43,6.4
"X430116",2.19,1.76,1.51
"X430128",8.12,5.93,4.36
"X430169",12.74,7.59,4.58
"X430220",7.16,5.54,4.33
"X430277",10.41,7.75,5.76
"X430304",13.66,9.48,6.84
"X430309",1.89,1.62,1.44
"X430336",2.18,1.79,1.55
"X430358",16.1,12.38,9.45
"X430366",4.58,4.28,4.02
"X430373",6.59,5.19,4.22
"X430374",1.26,1.2,1.15
"X430383",12.04,10.27,8.83
"X430389",11.72,9.04,7.07
"X430406",17.26,13.79,11.26
"X440001",7.85,6.16,4.88
"X440008",2.61,2.04,1.71
"X440029",8.46,6.82,5.6
"X440042",11.28,8.48,6.46
"X440076",16.75,13.09,10.36
"X440077",3.7,3,2.5
"X440080",8.19,5.83,4.19
"X440086",1,1,1
"X440099",5.12,4.3,3.67
"X440100",1,1,1
"X440140",1.24,1.05,1.02
"X440147",9.24,7.52,6.28
"X440155",12.07,8.36,6.06
"X440160",1.44,1.34,1.26
"X440161",2.41,2.21,2.04
"X440167",8.68,7,5.63
"X440168",3.47,2.97,2.57
"X440198",9.62,7.86,6.56
"X440223",9.85,7.31,5.59
"X440255",5.04,4.44,3.94
"X440273",3.34,2.68,2.23
"X440328",5.06,3.65,2.82
"X440337",2.18,1.95,1.77
"X440348",6.81,5.85,5.1
"X440353",1.32,1.25,1.2
"X440375",7.33,6.4,5.65
"X440378",5.41,1.43,1.15
"X440379",4.98,3.08,2.2
"X440386",13.65,10.17,7.7
"X440388",15.44,12.45,10.3
"X450017",9.7,7.81,6.47
"X450018",7.29,5.58,4.47
"X450025",10.81,5.67,3.28
"X450060",7.58,6.32,5.35
"X450061",7.34,6.12,5.15
"X450097",9.05,7,5.58
"X450099",5.03,3.43,2.53
"X450100",10,7.77,6.23
"X450122",6.88,5.28,4.17
"X450128",8.89,7.15,5.85
"X450181",2.83,2.39,2.06
"X450193",10.73,8.64,7.02
"X450215",6.25,5.15,4.34
"X450232",6.84,4.73,3.41
"X450281",10.15,5.82,3.62
"X450283",7.09,5.71,4.69
"X450284",8.94,7.31,6.07
"X450299",11.19,9.77,8.63
"X450300",9.5,7.51,6
"X450324",27.13,19.48,14.1
"X450337",1.45,1.35,1.27
"X450356",9.29,6.86,5.12
"X450387",9.49,7.12,5.5
"X450400",8.02,6.88,5.97
"X450401",7.21,5.25,3.98
"X450439",3.6,2.78,2.25
"X450487",13.88,11.03,8.96
"X460109",2.37,1.83,1.54
"X460162",1.02,1.01,1.01
"X460202",5.52,3.97,3.15
"X460231",3.81,3.25,2.82
"X460247",5.44,4.14,3.29
"X460263",18.56,15.13,12.64
"X460286",4.67,3.1,2.29
"X460353",8.73,4.9,3.29
"X460354",11.25,7.57,5.12
"X460368",8.53,5.23,3.42
"X460373",1.17,1.13,1.1
"X460402",8.04,6.75,5.77
"X460413",5.04,4.16,3.5
"X460429",12.67,9.08,6.69
"X460458",11.6,9.07,7.1
"X460459",10,8.35,7.07
"X460511",11.22,9.45,8.09
"X460532",12.09,9.89,8.25
"X460534",5.15,3.76,2.92
